电影Id,标题,年份,评分,星级人数,评论数,评论,海报,头像,用户名,排名,年份,地区,类型,主演
1292063,美丽人生,1997,9.5,5.0,1476585,如果谎言可以这样美丽，我也情愿生活在谎言之中,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2578474613.jpg,https://img1.doubanio.com/icon/up1190351-9.jpg,老鸡｜扶立,6.0,1997 ,,, 罗伯托·贝尼尼 1997 
3287562,神偷奶爸,2010,8.7,4.5,1046815,比玩具总动员3还要好看，同意的点有用,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p792776858.jpg,https://img1.doubanio.com/icon/up4496071-8.jpg,Quaikie魁克,148.0,2010 ,,, 皮埃尔·柯芬 克里斯·雷纳德 2010 
27110296,无名之辈,2018,8.0,4.0,1090807,关于个人尊严的电影，这在我国是个稀缺物品。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2539661066.jpg,https://img2.doubanio.com/icon/u1374708-1.jpg,well,11.0,2018 ,,, 饶晓志 2018 
26311973,唐人街探案,2015,7.8,4.0,952962,曾志伟一个人声优了所有角色吧,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2302930556.jpg,https://img9.doubanio.com/icon/up2712168-64.jpg,深夜声噎,7.0,2015 ,,, 陈思诚 2015 
11026735,超能陆战队,2014,8.8,4.5,1143939,好想戳爆胖子看会发生什么……,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2224568669.jpg,https://img9.doubanio.com/icon/up1458339-55.jpg,Bill,107.0,2014 ,,, 唐·霍尔 克里斯·威廉姆斯 2014 
6786002,触不可及,2011,9.3,4.5,1290021,给领导做一万件好事不如陪他做一件坏事,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1454261925.jpg,https://img2.doubanio.com/icon/up1009172-51.jpg,Dr希鲁鲁克,23.0,2011 ,,, 奥利维埃·纳卡什 埃里克·托莱达诺 2011 
1302425,喜剧之王,1999,8.8,4.5,1092624,我养你啊！,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2917778954.jpg,https://img3.doubanio.com/img/files/file-1609845567.png,大宸,90.0,1999 ,,, 周星驰 李力持 1999 
4739952,初恋这件小事,2010,8.5,4.5,1052521,结局真多余。。。。。。。。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1505312273.jpg,https://img9.doubanio.com/icon/up1526809-155.jpg,Dululu,223.0,2010 ,,, 普特鹏·普罗萨卡·那·萨克那卡林 华森·波克彭 2010 
19944106,美人鱼,2016,6.7,3.5,887508,十年后又是一部经典。 16.01.20,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2316177058.jpg,https://img2.doubanio.com/icon/up107887327-1.jpg,            或,17.0,2016 ,,, 周星驰 2016 
4920528,那些年，我们一起追的女孩,2011,8.1,4.0,937739,青春的阵痛就是，女孩永远比同龄男生成熟。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1348910586.jpg,https://img9.doubanio.com/icon/up2508663-14.jpg,Carol,5.0,2011 ,,, 九把刀 2011 
1293839,罗马假日,1953,9.1,4.5,1045693,赫本，无与伦比的美丽。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2189265085.jpg,https://img3.doubanio.com/icon/up1005928-127.jpg,影志,56.0,1953 ,,, 威廉·惠勒 1953 
27619748,唐人街探案3,2021,5.3,2.5,1139831,"世界上一切可以称之为艺术的东西都需要天赋。
 ",https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2622388983.jpg,https://img3.doubanio.com/icon/up100555435-2.jpg,Jasper,0.0,2021 ,,, 陈思诚 2021 
30334073,调音师,2018,8.2,4.0,1011770,最后一击神反转！！！攻击加成50%！,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2551995207.jpg,https://img3.doubanio.com/icon/up155253764-2.jpg,天堂里的细胞,6.0,2018 ,,, 斯里兰姆·拉格万 2018 
27038183,羞羞的铁拳,2017,6.8,3.5,764548,好运来那节我可以笑到过年。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2499793218.jpg,https://img1.doubanio.com/icon/up27405327-59.jpg,姨妈的鸭,7.0,2017 ,,, 宋阳 张吃鱼 2017 
